,business_id,name,city,state,categories
4437,jOOOrH5n2ijnsZKxzPSAiw,Chick-fil-A,Nashville,TN,"Caterers, Food Delivery Services, Fast Food, Food, Restaurants, Event Planning & Services, Salad, Chicken Shop"
4438,HrEIQSum1FKPJoXlI9UU_w,Chick-fil-A,Newtown,PA,"Fast Food, Desserts, Restaurants, Food, Caterers, Event Planning & Services, Salad, Chicken Shop"
4439,MNb5HycowFJoSCHHlasxwA,Chick-fil-A,Florissant,MO,"Restaurants, Fast Food, Event Planning & Services, Chicken Shop, Caterers"
4440,qXZooaeOrKHCrLHK99VHwg,Chick-fil-A,Fairview Heights,IL,"Event Planning & Services, Restaurants, Caterers, Fast Food, Chicken Shop"
4441,mrtFgfT6MgkC8yThcmNWYw,Chick-fil-A,Montgomeryville,PA,"Restaurants, Event Planning & Services, Fast Food, Food, Caterers, Chicken Shop"
4442,solAArVrEnuZ-qHNmi_Dhg,Chick-fil-A,Deptford,NJ,"Chicken Shop, Caterers, Event Planning & Services, Restaurants, Fast Food"
4443,o44f6a0qqeonD7XKC_uFng,Chick-fil-A,East Norriton,PA,"American (Traditional), Caterers, Restaurants, Event Planning & Services, Chicken Shop, Fast Food"
4444,Agh0Z_PACmbdEpLyjvuwZg,Chick-fil-A,Whitestown,IN,"Chicken Shop, Caterers, Fast Food, Restaurants, Event Planning & Services"
4445,DmulwmgbC7Qs1BfB7wx5tA,Chick-fil-A,Kenner,LA,"Fast Food, Breakfast & Brunch, Burgers, Restaurants, Chicken Shop"
4446,0j_SHG_LvTVoiDi2s3BpFw,Chick-fil-A,King Of Prussia,PA,"Caterers, Fast Food, Restaurants, Event Planning & Services, Chicken Shop"
4447,k0AAZuFNZbwgawbhCRe6AA,Chick-fil-A,Media,PA,"Chicken Wings, Chicken Shop, American (New), Fast Food, Caterers, Event Planning & Services, Food, Restaurants"
4448,2zSQu6_cLgWAVbZ2LbSLBA,Chick-fil-A,Philadelphia,PA,"American (Traditional), Restaurants, Event Planning & Services, Fast Food, Caterers, Chicken Shop"
4449,9pXKsLNZa2v-WQKJkLny9A,Chick-fil-A,Lansdale,PA,"Fast Food, Restaurants, Chicken Shop, Event Planning & Services, Caterers"
4450,FqxfsOhn13BKlXm94f1bjA,Chick-fil-A,Tampa,FL,"Event Planning & Services, Fast Food, Caterers, Chicken Wings, Restaurants, Chicken Shop"
4451,F2qHmfOsd6EC9j1rxJg7Pw,Chick-fil-A,Saint Petersburg,FL,"American (New), Event Planning & Services, Caterers, Fast Food, Restaurants, Chicken Shop"
4452,OJPfEZdSe20VF4pVaKzOFA,Chick-fil-A,Saint Petersburg,FL,"Event Planning & Services, Chicken Wings, Restaurants, Caterers, Fast Food, Chicken Shop"
4453,I8mJJrbXmuYSDA0-hoy02g,Chick-fil-A,Tucson,AZ,"Caterers, Chicken Shop, Fast Food, Event Planning & Services, Chicken Wings, Restaurants, American (Traditional)"
4454,AUEqZMM7RnTPV3ZV7PwOmg,Chick-fil-A,Trinity,FL,"Restaurants, American (New), Caterers, Fast Food, Chicken Shop, Event Planning & Services, American (Traditional)"
4455,Bd5P74d6lakelSZVs_QFVg,Chick-fil-A,Greenwood,IN,"Fast Food, Caterers, Restaurants, Event Planning & Services, Chicken Shop"
4456,0COlL5IKRu5sdWIsEiQAZg,Chick-fil-A,Glen Mills,PA,"Caterers, Fast Food, Event Planning & Services, Chicken Shop, Restaurants"
4457,V3EHKoSVTn_55y5siJFD0g,Chick-fil-A,Burlington,NJ,"Restaurants, Chicken Shop, Fast Food, Event Planning & Services, Caterers"
4458,b9oIwBmqX0IdoQCPIqngLA,Chick-fil-A,Sparks,NV,"Fast Food, Chicken Shop, Restaurants"
4459,14io_1ID19mWbD8W28yU_g,Chick-fil-A,Saint Louis,MO,"Restaurants, Fast Food, Chicken Shop, Sandwiches"
4460,_lRDriotIGmQBSwjOEcsNg,Chick-fil-A,Indianapolis,IN,"Event Planning & Services, Chicken Shop, Caterers, Fast Food, Restaurants"
4461,kJmLnhjOzvk9FQYC7OELeg,Chick-fil-A,Tampa,FL,"Fast Food, Caterers, Event Planning & Services, Restaurants, Chicken Shop"
4462,enG8SY3o6gy5iAxn-jUhIw,Chick-fil-A,Bridgeton,MO,"Chicken Shop, Sandwiches, Restaurants, Fast Food"
4463,nX8vR_aDiU1iqMySpIAjkw,Chick-fil-A,Tucson,AZ,"Fast Food, American (New), Restaurants, Food, Chicken Shop"
4464,XfFvlwTDn3Lo6CSJcTsCbg,Chick-fil-A,Gallatin,TN,"Event Planning & Services, Caterers, Fast Food, Restaurants, Chicken Wings, Chicken Shop"
4465,QVnZQJfdrcxEKqic1MftmQ,Chick-fil-A,Langhorne,PA,"Event Planning & Services, Caterers, Restaurants, Chicken Shop, Chicken Wings, Fast Food"
4466,Ciy19ebJIGjRcMyQ4uHubA,Chick-fil-A,Clearwater,FL,"Caterers, Restaurants, Event Planning & Services, Chicken Shop, Fast Food"
4467,UG_XHcrBZ_7ZiskelIKbGQ,Chick-fil-A,Norristown,PA,"Restaurants, Event Planning & Services, Chicken Wings, American (Traditional), Fast Food, Caterers, Chicken Shop"
4468,l920q9aMfPWJ0Jq11rkfkQ,Chick-fil-A,Barrington,NJ,"Fast Food, Event Planning & Services, Caterers, Chicken Shop, Restaurants"
4469,CflykRQLCJNUW3tVWmRjoA,Chick-fil-A,Tampa,FL,"Caterers, Event Planning & Services, Fast Food, Restaurants, Chicken Shop"
4470,3AKqb1zI6K8NDwZ_XdVVOQ,Chick-fil-A,Franklin,TN,"Event Planning & Services, Caterers, Chicken Shop, Restaurants, Fast Food"
4471,rNd0h7u9rriHjw4G4Z2Y8w,Chick-fil-A,Saint Petersburg,FL,"Caterers, Fast Food, Event Planning & Services, Chicken Wings, Restaurants, Chicken Shop"
4472,VmU3pmj7yoLpuU5DK8Tbtg,Chick-fil-A,Pottstown,PA,"Caterers, Event Planning & Services, Fast Food, Restaurants, Chicken Shop"
4473,EQoeJ4o6re7EC4_EONXPlg,Chick-fil-A,Riverview,FL,"Chicken Shop, Restaurants, Fast Food"
4474,O_h2eu7ygwRmBqedfMXqqg,Chick-fil-A,Downingtown,PA,"Chicken Wings, Caterers, Restaurants, Event Planning & Services, Fast Food, Chicken Shop"
4475,qI0yhw9R1isxkBtO1JpBbA,Chick-fil-A,Tampa,FL,"Chicken Shop, Fast Food, Restaurants"
4476,LxFKs9B1BXaF-m_yNGKA9g,Chick-fil-A,Metairie,LA,"Restaurants, Caterers, Chicken Shop, Chicken Wings, Event Planning & Services, Fast Food, Food, Food Delivery Services"
4477,tMLxlEWVqPMIhZ8wPpIp5g,Chick-fil-A,Exton,PA,"Caterers, American (Traditional), Fast Food, Event Planning & Services, Restaurants, Chicken Wings, Chicken Shop"
4478,gk8l75GLFUsFr0kS5uLtkQ,Chick-fil-A,Carrollwood,FL,"Chicken Wings, Restaurants, Caterers, Fast Food, Chicken Shop, Event Planning & Services"
4479,_EJLYOjC4x_8d_4BbgZPgw,Chick-fil-A,Brandon,FL,"Caterers, Fast Food, Restaurants, Chicken Shop, Event Planning & Services"
4480,gVJuK1B1E2vUpqgkiwIk_w,Chick-fil-A,Brentwood,MO,"Caterers, Chicken Shop, Event Planning & Services, Fast Food, Restaurants"
4481,At1HsCzyLGEuMpZcRY02UQ,Chick-fil-A,Saint Louis,MO,"Restaurants, Chicken Shop, Food, Fast Food"
4482,__AB6oytCW4hD2Jca02kRA,Chick-fil-A,Des Peres,MO,"Fast Food, Chicken Wings, Caterers, Chicken Shop, Event Planning & Services, Restaurants"
4483,vsdYVJC_1FU7yGrKVpYQyQ,Chick-fil-A,Philadelphia,PA,"Breakfast & Brunch, Fast Food, Restaurants, Chicken Shop"
4484,yO3C7jR9U95EHg5lPXNUGQ,Chick-fil-A,Tampa,FL,"Event Planning & Services, Restaurants, Food, Chicken Shop, Caterers, Fast Food"
4485,8tKV2XCp-kyKKxrScmOdtw,Chick-fil-A,Tampa,FL,"Restaurants, Chicken Wings, Fast Food, Caterers, Event Planning & Services, Chicken Shop"
4486,IzzPfs4k3HYGKjTfkZdzsw,Chick-fil-A,Saint Louis,MO,"Caterers, Restaurants, Chicken Wings, Chicken Shop, Fast Food, Event Planning & Services"
4487,wqpzxTiOwH4NKwr7Ruy9Kg,Chick-fil-A,Avon,IN,"Fast Food, Event Planning & Services, Caterers, Restaurants, Chicken Shop"
4488,patyl09ygp5oK1AdP5LbdA,Chick-fil-A,Arnold,MO,"Food, Restaurants, Event Planning & Services, American (Traditional), Fast Food, Caterers, Sandwiches, Chicken Shop"
4489,VyAd6PulpgJRsbMEFqoI2A,Chick-fil-A,Deptford,NJ,"Event Planning & Services, Fast Food, Caterers, Restaurants, Shopping, Pawn Shops, Chicken Shop"
4490,Pmt-hrEVzRYLMgHSk7yqWQ,Chick-fil-A,Nashville,TN,"Chicken Shop, Fast Food, Restaurants"
4491,rBpB66tz_BV_QIA8w19HDg,Chick-fil-A,Franklin,TN,"Salad, Chicken Shop, Caterers, Fast Food, Breakfast & Brunch, Restaurants, Event Planning & Services, Sandwiches"
4492,I30Nq1Y8MKcFmQNeYST36Q,Chick-fil-A,Tampa,FL,"Restaurants, Breakfast & Brunch, Event Planning & Services, Caterers, Salad, Fast Food, Chicken Shop"
4493,0Sm2vdDInZoTnWLYyRM46Q,Chick-fil-A,St. Louis,MO,"Event Planning & Services, Caterers, Fast Food, Restaurants, Chicken Shop"
4494,gJ9YeSqAMMF0M0-y58j0Gg,Chick-fil-A,Oldsmar,FL,"Chicken Wings, Event Planning & Services, American (New), Restaurants, Fast Food, Chicken Shop, Caterers"
4495,7URgiWraoBhN234plsJTkg,Chick-fil-A,King Of Prussia,PA,"Restaurants, Event Planning & Services, Chicken Shop, Caterers, Fast Food"
4496,8k3m4HBZB0h--N98bV4j8Q,Chick-fil-A,Newark,DE,"Event Planning & Services, Caterers, Chicken Shop, Chicken Wings, Restaurants, Fast Food"
4497,jcnKA1gG7Tek_UT2zWBI6w,Chick-fil-A,Springfield,PA,"Caterers, Event Planning & Services, Chicken Shop, Restaurants, Chicken Wings, Fast Food"
4498,SMJ789hJySZZMhW7y6HDXw,Chick-fil-A,Indianapolis,IN,"Event Planning & Services, Caterers, Chicken Shop, Restaurants, Fast Food"
4499,aO7F2PmXkV4RoS3XHwtL_w,Chick-fil-A,Sewell,NJ,"Caterers, Event Planning & Services, Fast Food, Restaurants, American (New), Chicken Shop"
4509,y3FVy0C7ZSFSnQCF-7vs8A,Chicken To Go,Trenton,NJ,"Restaurants, Chicken Wings"
4529,WFGoAG3HF2T1cTVr5HUD2w,Chilango's Bar & Grill,New Orleans,LA,"Burgers, Desserts, Barbeque, Bars, Nightlife, Tacos, Restaurants, Mexican, Food"
4531,621PF9xHAxH_y7zkTTEXVg,Chilangos,Indianapolis,IN,"Restaurants, Mexican"
4543,fTt30R06AiVnd9bWB4j49w,Chili's,Bensalem,PA,"Nightlife, Restaurants, Tex-Mex, American (Traditional), Mexican, American (New), Bars"
4544,SgQYWN_U5nyKofiCewopMg,Chili's,Tampa,FL,"Nightlife, American (Traditional), Restaurants, Tex-Mex, Bars"
4545,ZcNiAVnLyfV68-sRMV33ZQ,Chili's,Spring Hill,FL,"Nightlife, Bars, American (Traditional), Tex-Mex, Restaurants"
4546,jfIWqMrdWnPNORcDnQ7VNg,Chili's,Reno,NV,"Bars, Restaurants, Tex-Mex, Nightlife, American (Traditional)"
4547,AJJwMAXaBQ9E_8424COF_w,Chili's,Oro Valley,AZ,"Nightlife, Restaurants, Bars, American (Traditional), Tex-Mex"
4548,FPLmA8p3kcFWpH_MRnpT4g,Chili's,Port Richey,FL,"Restaurants, Bars, Sports Bars, Tex-Mex, American (Traditional), Nightlife, Mexican"
4549,XXQapFBGBSJ5eXKyjUI1bg,Chili's,Land O Lakes,FL,"Tex-Mex, American (New), American (Traditional), Cocktail Bars, Bars, Nightlife, Restaurants"
4550,A_ZeOVoEKM7P8BdoxrWyXw,Chili's,Nashville,TN,"Nightlife, Tex-Mex, American (Traditional), Bars, Restaurants"
4551,Gx7lY_Y-siF6jLrSMwCbZg,Chili's,Brookhaven,PA,"Bars, Restaurants, Tex-Mex, Nightlife, Barbeque, American (Traditional)"
4552,jTCBK1BS8O_Iy9N0vL88uw,Chili's,Fairless Hills,PA,"Tex-Mex, Mexican, Bars, Nightlife, Restaurants, American (Traditional)"
4553,qTFWuYTcKIGimi6kjO-rxw,Chili's,Gallatin,TN,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars"
4554,XMzcXTBnGYvbSdBtx21ZGg,Chili's,Clearwater,FL,"Seafood, Tex-Mex, Nightlife, Burgers, Bars, American (Traditional), Restaurants"
4555,xPxiRUJt-sYZ1Nsm2o8gkw,Chili's,Fairview Heights,IL,"Restaurants, American (Traditional), Sports Bars, Bars, Mexican, Tex-Mex, Seafood, Nightlife"
4556,ngr9J_vBd-QPba5gFlFSlQ,Chili's,Plainfield,IN,"American (Traditional), Tex-Mex, Bars, Nightlife, Restaurants"
4557,ISxEJ8u-J-xtboI-37htww,Chili's,Tarpon Springs,FL,"Bars, Tex-Mex, Restaurants, Nightlife, American (Traditional)"
4558,QUshQjkKA_s0yTrxOGbRrQ,Chili's,Brandon,FL,"Restaurants, Tex-Mex, American (New), Nightlife, Bars, American (Traditional)"
4559,ejYVhqT_e-8JX276XG0ozw,Chili's,Harvey,LA,"Bars, Restaurants, American (Traditional), Tex-Mex, Nightlife"
4560,V6x2MKCmFcPkOzY3vC4BwA,Chili's,Saint Petersburg,FL,"Nightlife, American (Traditional), Restaurants, Tex-Mex, Bars"
4561,HI90gPApLuPdEhoyNuEhow,Chili's,Nashville,TN,"American (Traditional), Nightlife, Tex-Mex, Restaurants, Bars"
4562,XeCiSG9PwoRd87-MgwSWdQ,Chili's,Fenton,MO,"Restaurants, Tex-Mex, Bars, American (New), Nightlife, American (Traditional)"
4563,a2ITIJRAY4Eo-xTH0vN95A,Chili's,Tampa,FL,"Restaurants, Nightlife, Tex-Mex, American (Traditional), Bars"
4564,592HGLvTk4gaoH5BEqP9xA,Chili's,Smyrna,TN,"Tex-Mex, Bars, Nightlife, Restaurants, American (Traditional)"
4565,VogFhW9pRLuT6dDjLA1BcQ,Chili's,Brandon,FL,"Nightlife, Restaurants, American (Traditional), Tex-Mex, Bars"
4566,fvQzIhF-XpiDandYqMsVfg,Chili's,Valrico,FL,"Desserts, American (Traditional), Restaurants, Bars, Tex-Mex, Nightlife, Food"
4567,ptEhxv7nZLLM4eDngNMHJA,Chili's,Plant City,FL,"Nightlife, Tex-Mex, American (Traditional), American (New), Restaurants, Bars"
4568,6iU5g238EGFa9wBwuixIWg,Chili's,Meridian,ID,"Restaurants, American (Traditional), Bars, Nightlife, Tex-Mex"
4569,ixyBg8U2-j9pQ_iuo2DakA,Chili's,Franklin,TN,"American (New), Bars, Restaurants, Burgers, Chicken Wings, American (Traditional), Nightlife, Tex-Mex"
4570,dv4yKRAKfvPGiMqpsSwH6Q,Chili's,Tampa,FL,"Nightlife, Bars, Restaurants, Tex-Mex, American (Traditional), Mexican"
4571,12SbnXfsthBbBaF2YzhLfA,Chili's,Tampa,FL,"Tex-Mex, Bars, American (Traditional), Restaurants, Nightlife"
4572,bB-TEdPAZ2H_jL4lz_u5uA,Chili's,Kirkwood,MO,"Tex-Mex, Restaurants, Nightlife, American (Traditional), Bars"
4573,6V8DwSReNWuwGkQo7hJ_jQ,Chili's,Tucson,AZ,"Tex-Mex, American (Traditional), Restaurants, Nightlife, Bars"
4574,PjgQhtDdLHMR36l5yQ5TQg,Chili's,Madison,TN,"Bars, Nightlife, Restaurants, Tex-Mex, American (Traditional)"
4575,qzCT_X5aTj8SkGpKdBYYdg,Chili's,Pinellas Park,FL,"Nightlife, Tex-Mex, American (Traditional), Restaurants, Bars"
4576,U50T86i8wyNWGWxsP7GIRw,Chili's,Philadelphia,PA,"Bars, Restaurants, Tex-Mex, American (Traditional), Nightlife"
4577,dIoRAk88FuBNlvb2ZgTxNA,Chili's,Indianapolis,IN,"Bars, Tex-Mex, Nightlife, Restaurants, American (Traditional)"
4578,4U0cvpHlcya4paLU2jJHJQ,Chili's,Saint Louis,MO,"Restaurants, Tex-Mex, Nightlife, Bars, American (Traditional)"
4579,Y8iVXWq_C-U3POZ6yItw7Q,Chili's,Newark,DE,"Restaurants, American (Traditional), Tex-Mex, Food, Bars, Nightlife"
4580,XKai36oCVAk1OUu-Zh7vjQ,Chili's,Brentwood,TN,"Restaurants, American (Traditional), Bars, Tex-Mex, Nightlife"
4581,nSptExAJO8atirMyZbBh1g,Chili's,Mount Laurel,NJ,"Nightlife, Restaurants, Tex-Mex, Bars, American (Traditional), Mexican"
4582,EkQ57hmMVYYBmceMmsYCBQ,Chili's,Trinity,FL,"Nightlife, Tex-Mex, American (Traditional), Bars, Restaurants"
4583,9fs3zBWKZBjosH2rSVvo-A,Chili's,Franklin,TN,"Bars, American (Traditional), Restaurants, Tex-Mex, Nightlife"
4584,DgaaiJq0ji-Wyx7yYLUVwQ,Chili's,Boise,ID,"Tex-Mex, American (Traditional), Nightlife, Bars, Restaurants"
4585,zCiy_Eq1TaJroIlKOAal0A,Chili's,Indianapolis,IN,"Restaurants, Tex-Mex, American (Traditional), Bars, Nightlife"
4586,yxQs5gSf0-8cEd6YMgSjbw,Chili's,Bala Cynwyd,PA,"Bars, Restaurants, Nightlife, American (Traditional), Tex-Mex"
4587,FY9T3yChZ9ZtnpTcQE2qIg,Chili's,King of Prussia,PA,"Nightlife, Tex-Mex, Bars, American (Traditional), Mexican, Restaurants"
4588,DGae0qGBtoE19egWaLYR4A,Chili's,Stowe,PA,"Nightlife, Restaurants, Tex-Mex, Bars, American (Traditional)"
4589,I39Gnp-se1D8-mvv_MumOw,Chili's,Philadelphia,PA,"American (New), Tex-Mex, Restaurants, Nightlife, Bars, American (Traditional)"
4590,ED-YlmolJpWMosZMBe2LYg,Chili's,Hendersonville,TN,"Nightlife, Restaurants, American (New), Tex-Mex, Bars, American (Traditional)"
4591,Ol4KW8Xx4lzPitSOw2ZdSA,Chili's,Odessa,FL,"Cocktail Bars, Restaurants, American (Traditional), Mexican, Bars, Nightlife, American (New), Tacos, Tex-Mex"
4592,MfKScMsPZfE66VQ1CsbS0A,Chili's,Philadelphia,PA,"Nightlife, Tex-Mex, Bars, Restaurants, American (Traditional)"
4593,yjWgLolj5G5mjNoisXyrGA,Chili's,Metairie,LA,"Restaurants, Tex-Mex, American (Traditional), Bars, Nightlife"
4594,nvpqUsDjJmfpM7H1Lba0IA,Chili's,Wesley Chapel,FL,"Bars, Tex-Mex, Restaurants, Nightlife, American (Traditional)"
4595,ZFPdmDIL2geO07HeT9-EmQ,Chili's,Deptford,NJ,"Nightlife, Bars, Mexican, Restaurants, Tex-Mex, American (Traditional)"
4596,C5XdxHdAtCduFZm5l0N4FQ,Chili's,Hermitage,TN,"American (Traditional), American (New), Nightlife, Bars, Tex-Mex, Restaurants"
4597,q-KONTBeN2fJm31QjZFStQ,Chili's,Greenwood,IN,"Tex-Mex, Restaurants, American (Traditional), Mexican, Nightlife, Bars"
4598,cwPyxA58P6Lxef0gOP3RcA,Chili's,Saint Louis,MO,"Restaurants, Bars, American (Traditional), Tex-Mex, Nightlife"
4599,_Sg2klmzH4JxJCrstJhStw,Chili's,Tucson,AZ,"Bars, American (Traditional), Nightlife, Restaurants, Tex-Mex"
4600,IZJacI6XEUxy3_wbW76Qfw,Chili's,Goleta,CA,"Tex-Mex, Restaurants, Bars, American (Traditional), Nightlife"
4601,0vI6ceUOgRhLCkGrSryYFQ,Chili's,Reno,NV,"Bars, American (Traditional), Nightlife, Restaurants, Tex-Mex"
4602,upgYrte1f2kR0VED3RQtIA,Chili's,Florissant,MO,"Restaurants, Bars, Salad, Burgers, American (Traditional), Mexican, Nightlife, Sandwiches, Tex-Mex"
4603,bvA6-yas49ezDM5xHc9FbA,Chili's,Nashville,TN,"Restaurants, Tex-Mex, Nightlife, American (Traditional), Bars"
4604,4ABQAbdbd7jx5ZEhLFn2HQ,Chili's,Arnold,MO,"Mexican, Tex-Mex, Nightlife, American (Traditional), Sports Bars, Bars, Restaurants"
4605,ILLu-1LRxTRfLpV43GDmOQ,Chili's,Clearwater,FL,"Restaurants, Bars, Nightlife, Tex-Mex, American (Traditional)"
4606,DuDSt3THo7_jPkad-eZffg,Chili's,Tucson,AZ,"American (Traditional), Tex-Mex, Bars, Restaurants, Nightlife"
4607,y3iKFTk_sgIXCT6fNcBn_Q,Chili's,Tampa,FL,"Chicken Wings, Bars, Restaurants, Nightlife, American (Traditional), Tex-Mex"
4608,xg7WrHbcSfOX1oyY-SO9bQ,Chili's,Oldsmar,FL,"Bars, American (Traditional), Tex-Mex, Restaurants, Nightlife"
4609,ZipdU0bO04CUDZFP1Hj2QA,Chili's,Largo,FL,"Nightlife, American (Traditional), Bars, Restaurants, Tex-Mex"
4610,HGW3R1b2wQCq_QzBXNmcIA,Chili's,Tampa,FL,"Tex-Mex, Bars, Restaurants, American (New), American (Traditional), Nightlife"
4614,1ODxVllpi7ANEq9Ngqb5cw,Chill Caw-Fee,Valrico,FL,"Cafes, Shopping, Restaurants, Food, Coffee & Tea, Vitamins & Supplements"
4615,MH2l4IMyrNyS-E4AfxbrIA,Chill Out Cafe,New Orleans,LA,"Salad, Breakfast & Brunch, Thai, Restaurants"
4623,8ZFC_TnP_hAsn0rgoK7KAA,Chimichangas Mexican Restaurant,Saint Louis,MO,"Bars, Restaurants, Mexican, Nightlife"
4639,uPQDMKhZWeTj2FAGdeNtYw,China Chen Restaurant,Sun City Center,FL,"Chinese, Restaurants"
4641,0nMdZRSeaABr2PRbs_cpiw,China Cottage Restaurant,Madison,TN,"Restaurants, Chinese"
4673,11x7dlRp4ACo3tnYnHZMaA,China Pagoda,Philadelphia,PA,"Chinese, Restaurants"
4696,1IhykWu1UEPHyQ3XT7xdsQ,China Wok Express,Saint Louis,MO,"Chinese, Restaurants"
4697,i8nVRUkzEI5EUp1gdivhcw,China Wok III,Folcroft,PA,"Soup, Restaurants, Seafood, Chinese"
4717,_3DBgWpzjo_TSNm4jRNiJg,Chinese Hot Pot Buffet,Edmonton,AB,"Restaurants, Hot Pot, Buffets, Chinese"
4722,jRT5cMVEDYE9tp7c6UB_hg,Ching Asian Bistro,Franklin,TN,"Restaurants, Asian Fusion, Chinese, Sushi Bars"
4728,bS0cVtZq2HEoptWq3oD99w,Chipotle Mexican Grill,Oro Valley,AZ,"Fast Food, Mexican, Restaurants"
4729,8lfRMOaf-DKRCHWsP6Y8PA,Chipotle Mexican Grill,Tucson,AZ,"Restaurants, Fast Food, Mexican, Tex-Mex"
4730,kUP8plrgTC5f4-pQi-kvFg,Chipotle Mexican Grill,Fairview Heights,IL,"Mexican, Restaurants, Fast Food"
4731,G3qHuySzimTTf1_6uBxF2g,Chipotle Mexican Grill,Indianapolis,IN,"Tex-Mex, Fast Food, Restaurants, Mexican"
4732,tnq7b6ROl4RIyfQoxIrXhw,Chipotle Mexican Grill,Ardmore,PA,"Mexican, Restaurants, Fast Food"
4733,jTaKRtcb3jVa274Gf3P7yw,Chipotle Mexican Grill,Port Richey,FL,"Restaurants, Tex-Mex, Mexican, Fast Food"
4734,Su61gAnRDG3DuMEf5RmvTw,Chipotle Mexican Grill,Deptford,NJ,"Restaurants, Fast Food, Mexican"
4735,Jvq86zM-BI58aIO7XieqPw,Chipotle Mexican Grill,Dresher,PA,"Fast Food, Mexican, Restaurants"
4736,8WBe-jXE19b21yevU1bh4A,Chipotle Mexican Grill,Trevose,PA,"Restaurants, Fast Food, Mexican"
4737,G2HoBp20Uj0-yaExS7J44g,Chipotle Mexican Grill,Sewell,NJ,"Restaurants, Fast Food, Mexican"
4738,S8Px83t0l52hcRwE1phE5w,Chipotle Mexican Grill,Saint Louis,MO,"Fast Food, Restaurants, Salad, Mexican"
4739,J8NFYLevEA7xgC_zBvivNw,Chipotle Mexican Grill,Palm Harbor,FL,"Mexican, Fast Food, Restaurants"
4740,BvomXXWqtKSkEfS037gcfw,Chipotle Mexican Grill,Willow Grove,PA,"Restaurants, Fast Food, Mexican"
4741,u858IdTVc8Np_JHXS8JImQ,Chipotle Mexican Grill,Philadelphia,PA,"Restaurants, Mexican, Fast Food"
4742,J5RuJwt0lQL-orTy3SFZFA,Chipotle Mexican Grill,North Wales,PA,"Mexican, Fast Food, Restaurants"
4743,oVEfo7hkw_Icjzs-nhs9TQ,Chipotle Mexican Grill,Langhorne,PA,"Restaurants, Food, Mexican, Fast Food"
4744,gujO7uy-VeqqEj9eNxSXIg,Chipotle Mexican Grill,Philadelphia,PA,"Mexican, Restaurants, Fast Food"
4745,NkO7yOwVCDsB8rWlyZfEUQ,Chipotle Mexican Grill,Warrington,PA,"Restaurants, Mexican, Fast Food"
4746,T6pMNyBC9ouFV2Msdvybgw,Chipotle Mexican Grill,Tampa,FL,"Restaurants, Mexican, Fast Food"
4747,U7esGceQIZ_1IG6Ib0c1lQ,Chipotle Mexican Grill,Nashville,TN,"Fast Food, Mexican, Tex-Mex, Restaurants"
4748,ztFGiRmX7HPoKMKbgkP17w,Chipotle Mexican Grill,Indianapolis,IN,"Fast Food, Mexican, Restaurants"
4749,RvqMPaivRyEc4uvSSpfYGw,Chipotle Mexican Grill,Indianapolis,IN,"Mexican, Restaurants, Fast Food"
4750,NNlhukzmh9S2HUh0F0Aysg,Chipotle Mexican Grill,St. Louis,MO,"Restaurants, Mexican, Fast Food"
4751,lVzQ8TrKo0LaYptPaZfo5w,Chipotle Mexican Grill,Hermitage,TN,"Fast Food, Restaurants, Mexican"
4752,AV6s5icMZqkv_YUdbPnyKw,Chipotle Mexican Grill,New Port Richey,FL,"Restaurants, Fast Food, Mexican"
4753,uupdI7jlavQBKXme3NS6cA,Chipotle Mexican Grill,Nashville,TN,"Mexican, Restaurants, Fast Food"
4754,jwRlmoAC0ItrVN5E7hOqzg,Chipotle Mexican Grill,Saint Petersburg,FL,"Mexican, Fast Food, Restaurants"
4755,iUvmu6k_GyMlIjw67dTweA,Chipotle Mexican Grill,Newtown Square,PA,"Restaurants, Fast Food, Mexican"
4756,dcq-bXnuPzeauvI8x-AMEQ,Chipotle Mexican Grill,Brandon,FL,"Food, Fast Food, Mexican, Restaurants"
4757,Xq_gzsyvrzbOacFSJtNNZg,Chipotle Mexican Grill,Wayne,PA,"Mexican, Fast Food, Restaurants"
4758,IEDW_nZUl1OEq9qucwViRQ,Chipotle Mexican Grill,Wayne,PA,"Fast Food, Mexican, Restaurants"
4759,iivbJVE6W4pUXcLrWhc1og,Chipotle Mexican Grill,Brandon,FL,"Mexican, Fast Food, Restaurants"
4760,gEn52Xe8B-sOjPeG8a5QtA,Chipotle Mexican Grill,Nashville,TN,"Mexican, Fast Food, Specialty Food, Food, Ethnic Food, Restaurants"
4761,Zf3tMqJQOflOY7yPj5SJKw,Chipotle Mexican Grill,Indianapolis,IN,"Mexican, Fast Food, Restaurants"
4762,GnpSc9CbBnAO4uVEox3p0w,Chipotle Mexican Grill,Boise,ID,"Fast Food, Restaurants, Mexican"
4763,218iUUKO0h2U7V-b1P4P9Q,Chipotle Mexican Grill,Cinnaminson,NJ,"Fast Food, Restaurants, Mexican"
4764,QsSA6MC9-CoElSrXPDrIKA,Chipotle Mexican Grill,Tucson,AZ,"Fast Food, Restaurants, Mexican"
4765,sCPx4Sy4I1wMeZwsTzCFRg,Chipotle Mexican Grill,Philadelphia,PA,"Event Planning & Services, Mexican, Restaurants, Caterers, Fast Food"
4766,v6VojlJI0E70pAArNYmGpA,Chipotle Mexican Grill,Reno,NV,"Mexican, Fast Food, Restaurants"
